material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,predicted_cost_usd,predicted_co2_footprint,shipping_category,material_safety,material_category
Bluetooth Speaker Model 57,46,2,68,0.36,9,18.92,28.03,18.8,89.01,15.48,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 161,18,8,24,2.57,35,30.84,20.05,16.66,55.89,50.71,Ultra-Light,Moderate,Laptop
Smartwatch Model 83,15,4,87,1.28,67,7.97,25.51,22.81,38.64,15.98,Ultra-Light,Safe,Smartwatch
Smartphone Model 368,39,7,90,0.66,32,10.2,25.38,23.3,74.58,9.05,Ultra-Light,Moderate,Smartphone
Smartwatch Model 103,48,17,43,1.31,87,19.19,43.47,42.6,70.47,33.01,Ultra-Light,Safe,Smartwatch
Laptop Model 226,41,20,18,1.05,90,26.23,40.7,41.69,60.7,39.51,Ultra-Light,Safe,Laptop
Gaming Console Model 476,22,20,86,2.23,27,12.84,12.94,19.12,76.53,23.17,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 81,34,6,54,1.63,47,20.08,25.34,24.91,59.28,33.1,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 246,22,4,87,2.12,82,6.97,29.46,28.88,31.78,24.02,Ultra-Light,Safe,Laptop
Laptop Model 464,57,20,38,0.42,49,23.95,34.35,37.14,97.0,28.12,Ultra-Light,Moderate,Laptop
Laptop Model 140,52,11,97,2.64,44,8.08,29.4,31.55,82.63,22.34,Ultra-Light,Moderate,Laptop
Smartwatch Model 124,10,11,28,0.83,44,27.7,9.72,17.13,57.71,34.96,Ultra-Light,Moderate,Smartwatch
Tablet Model 404,59,8,69,1.12,45,15.47,40.3,33.73,89.09,22.43,Ultra-Light,Moderate,Tablet
Smartphone Model 329,42,10,4,2.66,5,39.9,14.69,18.05,98.13,58.74,Ultra-Light,Moderate,Smartphone
Headphones Model 473,27,10,23,1.19,83,25.51,40.53,32.52,44.15,41.16,Ultra-Light,Safe,Headphones
Bluetooth Speaker Model 485,51,19,30,1.71,59,26.13,37.48,37.09,84.42,42.38,Ultra-Light,Safe,Bluetooth Speaker
Power Bank Model 355,28,15,81,1.79,60,10.77,22.67,28.28,65.81,22.94,Ultra-Light,Safe,Power Bank
Smartphone Model 421,46,16,97,1.72,64,5.53,35.51,35.84,68.8,15.55,Ultra-Light,Safe,Smartphone
Laptop Model 415,12,13,24,1.57,76,26.14,28.6,26.21,30.7,44.43,Ultra-Light,Safe,Laptop
Bluetooth Speaker Model 136,19,17,21,1.94,70,27.86,28.41,28.11,46.63,47.18,Ultra-Light,Safe,Bluetooth Speaker
Camera DSLR Model 184,47,16,11,2.45,57,32.47,30.1,34.33,67.12,55.14,Ultra-Light,Safe,Camera DSLR
Tablet Model 290,10,20,41,1.12,49,23.47,13.03,20.58,61.7,33.42,Ultra-Light,Moderate,Tablet
Camera DSLR Model 250,16,5,18,1.03,21,33.12,14.02,11.95,64.59,41.57,Ultra-Light,Moderate,Camera DSLR
Headphones Model 259,26,17,13,0.42,2,36.15,9.9,13.79,86.24,38.84,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 256,38,18,24,2.43,27,31.56,17.73,24.19,83.31,50.66,Ultra-Light,Moderate,Hard Disk Drive
Hard Disk Drive Model 362,44,14,0,0.47,35,36.78,26.72,27.58,89.88,44.25,Ultra-Light,Moderate,Hard Disk Drive
Power Bank Model 156,33,16,64,1.6,13,20.46,13.76,18.56,94.29,28.28,Ultra-Light,Moderate,Power Bank
Gaming Console Model 151,16,2,0,0.73,13,39.14,8.66,9.24,63.27,44.84,Ultra-Light,Moderate,Gaming Console
Laptop Model 408,14,2,18,2.09,61,29.75,29.44,20.34,36.06,49.74,Ultra-Light,Safe,Laptop
Headphones Model 207,24,6,36,2.66,67,24.1,22.53,26.25,51.87,46.18,Ultra-Light,Safe,Headphones
Tablet Model 365,35,16,82,0.89,16,14.33,16.06,20.12,80.24,15.8,Ultra-Light,Moderate,Tablet
Smartphone Model 201,15,2,87,0.66,83,6.0,30.5,26.4,39.87,10.68,Ultra-Light,Safe,Smartphone
Bluetooth Speaker Model 130,48,10,77,1.8,29,15.08,28.88,26.28,90.94,23.52,Ultra-Light,Moderate,Bluetooth Speaker
Smartwatch Model 407,47,12,6,0.72,52,33.43,34.03,32.34,75.36,42.48,Ultra-Light,Safe,Smartwatch
Tablet Model 276,12,17,86,1.84,54,9.9,17.37,21.67,53.91,21.29,Ultra-Light,Safe,Tablet
Headphones Model 176,16,2,59,0.61,41,18.57,16.32,16.26,37.8,21.52,Ultra-Light,Moderate,Headphones
Smartphone Model 422,26,19,54,2.93,98,15.76,43.27,37.91,41.59,42.23,Ultra-Light,Safe,Smartphone
Headphones Model 161,49,11,64,1.74,62,15.64,31.64,35.14,69.0,27.68,Ultra-Light,Safe,Headphones
Tablet Model 133,38,11,79,0.79,12,15.57,18.89,18.93,84.61,13.88,Ultra-Light,Moderate,Tablet
Laptop Model 245,59,14,4,2.75,43,36.15,29.82,34.49,91.13,60.97,Ultra-Light,Moderate,Laptop
Hard Disk Drive Model 110,47,18,68,2.16,78,13.1,40.49,40.13,71.93,29.48,Ultra-Light,Safe,Hard Disk Drive
Smartwatch Model 151,46,3,19,0.53,81,26.52,35.05,37.02,53.05,38.6,Ultra-Light,Safe,Smartwatch
Camera DSLR Model 113,58,7,56,2.87,89,16.02,53.79,43.87,57.09,41.63,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 30,46,3,75,2.91,68,12.45,34.62,33.41,52.22,33.33,Ultra-Light,Safe,Camera DSLR
Power Bank Model 305,10,8,71,1.1,73,12.06,25.61,23.58,41.11,19.56,Ultra-Light,Safe,Power Bank
Smartwatch Model 223,26,3,11,2.96,64,32.08,29.14,25.41,46.59,59.11,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 436,26,19,73,2.25,82,11.25,30.08,34.01,46.28,28.1,Ultra-Light,Safe,Bluetooth Speaker
Gaming Console Model 379,27,4,47,2.41,44,22.95,29.59,21.09,62.29,40.42,Ultra-Light,Moderate,Gaming Console
Camera DSLR Model 210,12,20,54,1.36,81,16.52,27.0,29.25,43.47,28.62,Ultra-Light,Safe,Camera DSLR
Power Bank Model 361,26,15,86,2.09,99,5.55,43.23,37.29,55.56,20.71,Ultra-Light,Safe,Power Bank
Hard Disk Drive Model 221,19,14,32,0.39,27,27.93,15.8,16.84,76.41,30.64,Ultra-Light,Moderate,Hard Disk Drive
Smartwatch Model 18,28,17,64,1.52,25,19.21,18.44,20.07,86.27,25.5,Ultra-Light,Moderate,Smartwatch
Tablet Model 251,53,20,81,1.99,7,16.19,17.06,25.0,117.47,23.55,Ultra-Light,Moderate,Tablet
Power Bank Model 400,23,18,35,1.07,8,29.34,4.58,14.39,96.53,36.28,Ultra-Light,Moderate,Power Bank
Gaming Console Model 167,16,14,57,1.12,48,18.77,16.14,20.93,52.25,26.27,Ultra-Light,Moderate,Gaming Console
Laptop Model 438,53,6,9,1.72,33,35.03,33.93,28.04,80.79,50.49,Ultra-Light,Moderate,Laptop
Smartwatch Model 255,14,10,42,2.12,47,23.97,15.63,18.83,49.07,41.81,Ultra-Light,Moderate,Smartwatch
Smartwatch Model 68,59,3,51,1.66,34,22.3,36.32,29.65,82.39,33.23,Ultra-Light,Moderate,Smartwatch
Headphones Model 183,55,19,38,0.39,51,23.73,32.47,36.69,92.43,28.1,Ultra-Light,Safe,Headphones
Camera DSLR Model 136,14,18,39,1.83,85,20.9,21.77,30.38,30.04,39.3,Ultra-Light,Safe,Camera DSLR
Tablet Model 308,46,20,26,1.84,38,29.5,28.51,30.32,87.17,45.22,Ultra-Light,Moderate,Tablet
Power Bank Model 326,23,16,34,1.81,4,30.49,12.07,12.78,84.06,39.84,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 55,24,10,25,1.26,7,32.56,11.44,12.46,73.85,41.07,Ultra-Light,Moderate,Camera DSLR
Headphones Model 209,31,9,86,2.12,31,12.37,20.23,20.53,69.64,21.83,Ultra-Light,Moderate,Headphones
Smartphone Model 205,35,19,32,1.13,1,30.98,13.89,17.08,103.16,35.96,Ultra-Light,Moderate,Smartphone
Bluetooth Speaker Model 454,31,13,10,1.29,51,32.67,27.81,26.66,63.41,46.35,Ultra-Light,Safe,Bluetooth Speaker
Tablet Model 176,24,13,76,2.22,58,12.73,24.08,25.82,58.75,26.81,Ultra-Light,Safe,Tablet
Smartwatch Model 162,22,5,76,2.25,69,11.65,25.14,25.86,40.52,28.24,Ultra-Light,Safe,Smartwatch
Power Bank Model 185,17,5,23,1.48,52,28.79,22.6,19.98,42.22,43.16,Ultra-Light,Safe,Power Bank
Tablet Model 265,39,6,73,1.25,74,11.45,44.52,33.46,52.61,18.41,Ultra-Light,Safe,Tablet
Smartphone Model 161,21,19,59,2.26,99,13.76,38.3,36.51,42.09,35.02,Ultra-Light,Safe,Smartphone
Camera DSLR Model 340,54,15,40,1.4,66,22.24,43.68,38.94,77.32,35.32,Ultra-Light,Safe,Camera DSLR
Tablet Model 441,53,20,96,1.43,94,2.66,43.65,46.84,64.21,13.45,Ultra-Light,Safe,Tablet
Smartwatch Model 361,51,4,32,2.0,35,28.1,34.0,27.3,75.0,44.38,Ultra-Light,Moderate,Smartwatch
Power Bank Model 380,54,13,85,1.28,96,5.67,55.21,45.96,60.71,16.85,Ultra-Light,Safe,Power Bank
Hard Disk Drive Model 62,41,20,50,1.68,87,17.31,33.58,40.85,68.52,32.99,Ultra-Light,Safe,Hard Disk Drive
Tablet Model 114,32,13,52,0.98,23,22.69,12.64,20.05,79.22,26.37,Ultra-Light,Moderate,Tablet
Smartwatch Model 212,49,8,36,2.53,61,24.62,38.18,34.02,58.42,46.35,Ultra-Light,Safe,Smartwatch
Power Bank Model 234,58,20,12,2.25,87,29.05,50.84,46.71,85.35,51.61,Ultra-Light,Safe,Power Bank
Power Bank Model 274,15,18,55,0.57,11,22.74,3.89,12.41,80.52,22.48,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 428,45,2,41,0.78,85,19.67,39.17,37.38,49.06,30.7,Ultra-Light,Safe,Camera DSLR
Gaming Console Model 149,40,8,17,0.43,5,34.66,12.58,17.19,84.6,37.19,Ultra-Light,Moderate,Gaming Console
Gaming Console Model 156,57,9,42,1.3,36,24.58,29.24,31.0,92.96,35.33,Ultra-Light,Moderate,Gaming Console
Headphones Model 212,29,6,89,0.81,53,8.49,22.01,24.78,59.6,12.11,Ultra-Light,Safe,Headphones
Bluetooth Speaker Model 105,19,17,46,0.39,97,16.73,34.07,35.09,27.24,24.54,Ultra-Light,Safe,Bluetooth Speaker
Laptop Model 244,58,10,90,2.49,0,14.49,23.31,22.43,118.78,24.23,Ultra-Light,Moderate,Laptop
Tablet Model 159,44,12,79,2.23,58,11.84,34.24,32.57,66.54,24.3,Ultra-Light,Safe,Tablet
Hard Disk Drive Model 131,11,8,37,1.6,39,25.96,14.39,15.36,47.05,38.96,Ultra-Light,Moderate,Hard Disk Drive
Gaming Console Model 492,13,12,20,1.0,68,27.8,21.73,24.4,36.58,39.57,Ultra-Light,Safe,Gaming Console
Laptop Model 61,46,17,19,2.15,19,33.69,22.72,24.78,94.01,48.38,Ultra-Light,Moderate,Laptop
Smartphone Model 163,14,8,17,1.73,22,33.74,8.48,12.14,63.85,46.95,Ultra-Light,Moderate,Smartphone
Smartphone Model 489,19,20,39,1.19,83,20.71,31.02,32.22,50.43,32.85,Ultra-Light,Safe,Smartphone
Camera DSLR Model 477,29,19,83,2.33,64,10.1,26.93,30.55,68.53,26.04,Ultra-Light,Safe,Camera DSLR
Smartphone Model 11,30,12,80,2.59,90,8.55,38.9,35.61,46.29,26.89,Ultra-Light,Safe,Smartphone
Laptop Model 428,26,17,39,0.78,50,23.77,24.93,25.73,59.11,31.51,Ultra-Light,Moderate,Laptop
Gaming Console Model 24,25,15,80,1.03,30,13.62,15.42,19.85,73.54,17.04,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 403,10,13,51,2.72,16,24.73,2.05,10.34,63.65,41.54,Ultra-Light,Moderate,Smartwatch
Hard Disk Drive Model 292,22,10,26,0.72,34,29.23,16.65,18.59,63.57,35.26,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 255,21,4,21,2.31,48,30.29,22.53,20.0,46.81,49.89,Ultra-Light,Moderate,Tablet
Headphones Model 201,20,19,79,2.81,90,8.99,32.32,33.83,41.44,30.54,Ultra-Light,Safe,Headphones
Gaming Console Model 154,24,12,54,1.78,78,17.07,28.92,30.63,42.9,32.68,Ultra-Light,Safe,Gaming Console
Bluetooth Speaker Model 76,22,16,38,1.54,18,27.72,6.11,15.97,72.5,35.85,Ultra-Light,Moderate,Bluetooth Speaker
Hard Disk Drive Model 337,49,18,96,2.12,5,11.97,16.67,22.58,109.72,18.3,Ultra-Light,Moderate,Hard Disk Drive
Hard Disk Drive Model 226,29,15,99,1.11,13,9.67,16.38,16.98,95.64,10.24,Ultra-Light,Moderate,Hard Disk Drive
Smartwatch Model 367,21,9,99,0.32,21,8.39,12.79,14.8,67.61,3.77,Ultra-Light,Moderate,Smartwatch
Smartwatch Model 424,20,12,0,1.77,43,36.76,20.26,20.48,61.61,55.82,Ultra-Light,Moderate,Smartwatch
Smartphone Model 55,50,14,70,1.57,41,15.84,27.25,31.01,75.62,23.56,Ultra-Light,Moderate,Smartphone
Power Bank Model 27,15,13,67,2.71,82,13.33,23.66,28.59,42.45,36.84,Ultra-Light,Safe,Power Bank
Smartphone Model 347,22,18,68,1.02,45,15.71,21.99,23.3,67.43,20.54,Ultra-Light,Moderate,Smartphone
Hard Disk Drive Model 341,10,15,87,0.86,7,13.72,7.56,8.87,68.23,11.56,Ultra-Light,Moderate,Hard Disk Drive
Smartwatch Model 51,24,3,88,0.57,38,10.14,17.52,18.56,46.95,9.28,Ultra-Light,Moderate,Smartwatch
Power Bank Model 113,34,10,24,1.78,30,30.87,22.61,21.63,76.58,43.61,Ultra-Light,Moderate,Power Bank
Power Bank Model 208,42,5,48,2.12,54,21.47,30.79,29.13,61.74,37.82,Ultra-Light,Safe,Power Bank
Smartwatch Model 315,34,6,46,1.28,40,22.97,23.13,23.21,66.98,31.03,Ultra-Light,Moderate,Smartwatch
Tablet Model 325,35,11,19,2.21,72,28.43,35.74,32.67,44.61,50.29,Ultra-Light,Safe,Tablet
Hard Disk Drive Model 491,59,5,7,1.49,79,30.89,44.37,41.43,74.84,48.07,Ultra-Light,Safe,Hard Disk Drive
Laptop Model 37,57,15,31,1.76,38,27.96,31.11,32.94,97.51,42.61,Ultra-Light,Moderate,Laptop
Smartphone Model 373,19,15,59,3.0,43,19.8,15.47,20.7,68.05,38.24,Ultra-Light,Moderate,Smartphone
Camera DSLR Model 146,52,19,53,1.6,85,16.56,43.99,43.96,71.84,31.49,Ultra-Light,Safe,Camera DSLR
Gaming Console Model 407,38,10,37,3.0,30,27.7,23.3,22.85,74.79,49.35,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 420,46,12,34,2.6,74,23.96,37.39,37.21,62.24,47.93,Ultra-Light,Safe,Smartwatch
Laptop Model 169,12,19,43,0.42,82,19.15,26.08,29.39,41.91,26.11,Ultra-Light,Safe,Laptop
Tablet Model 106,43,14,45,2.59,45,23.55,24.15,29.41,89.46,42.27,Ultra-Light,Moderate,Tablet
Power Bank Model 251,28,11,60,0.84,9,21.6,10.94,14.67,75.28,22.4,Ultra-Light,Moderate,Power Bank
Gaming Console Model 473,32,7,50,2.02,50,21.21,29.71,25.15,48.98,34.91,Ultra-Light,Moderate,Gaming Console
Laptop Model 69,30,19,71,0.73,61,13.04,21.26,30.39,58.29,17.68,Ultra-Light,Safe,Laptop
Tablet Model 394,54,2,80,1.53,48,12.12,30.2,31.17,70.87,19.49,Ultra-Light,Moderate,Tablet
Power Bank Model 213,25,13,63,2.25,82,14.25,33.13,32.16,35.67,33.49,Ultra-Light,Safe,Power Bank
Power Bank Model 485,25,18,31,2.0,59,26.0,28.94,27.7,56.25,43.27,Ultra-Light,Safe,Power Bank
Camera DSLR Model 402,45,8,19,2.62,15,34.37,21.41,21.11,75.34,54.23,Ultra-Light,Moderate,Camera DSLR
Tablet Model 331,31,19,59,2.02,36,19.91,19.83,24.3,77.81,33.27,Ultra-Light,Moderate,Tablet
Power Bank Model 72,52,7,16,0.39,18,33.63,28.7,24.39,94.03,37.43,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 8,59,19,19,1.12,76,27.37,44.04,44.23,76.45,40.42,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 130,18,7,0,2.45,76,33.87,30.06,26.68,29.27,58.11,Ultra-Light,Safe,Headphones
Tablet Model 193,60,6,39,1.92,56,23.85,44.01,36.21,79.03,38.93,Ultra-Light,Safe,Tablet
Gaming Console Model 416,51,8,76,1.96,31,15.28,32.9,27.31,91.79,26.42,Ultra-Light,Moderate,Gaming Console
Power Bank Model 497,13,12,60,1.17,72,15.5,24.49,25.37,36.19,25.39,Ultra-Light,Safe,Power Bank
Power Bank Model 32,56,9,63,1.92,82,14.05,43.57,42.06,60.27,30.65,Ultra-Light,Safe,Power Bank
Power Bank Model 215,37,5,81,0.79,36,12.57,26.95,23.08,56.72,14.56,Ultra-Light,Moderate,Power Bank
Tablet Model 146,10,11,57,1.31,43,19.39,13.09,16.8,57.04,29.01,Ultra-Light,Moderate,Tablet
Power Bank Model 497,13,12,61,1.13,73,15.08,24.17,25.63,37.02,24.53,Ultra-Light,Safe,Power Bank
Smartwatch Model 156,18,12,28,1.69,85,24.11,33.58,30.3,40.42,42.86,Ultra-Light,Safe,Smartwatch
Gaming Console Model 421,52,16,66,1.6,72,13.96,39.28,39.96,63.6,25.48,Ultra-Light,Safe,Gaming Console
Tablet Model 304,49,19,93,0.42,62,6.15,29.03,37.34,90.38,5.23,Ultra-Light,Safe,Tablet
Smartphone Model 47,50,11,78,1.15,66,10.69,39.58,36.58,71.4,18.77,Ultra-Light,Safe,Smartphone
Camera DSLR Model 89,38,6,42,2.65,25,26.49,18.69,20.65,76.23,44.3,Ultra-Light,Moderate,Camera DSLR
Headphones Model 354,54,14,8,2.53,14,37.72,25.07,25.52,109.34,58.88,Ultra-Light,Moderate,Headphones
Camera DSLR Model 394,27,3,13,2.59,29,34.75,17.9,17.06,55.73,56.76,Ultra-Light,Moderate,Camera DSLR
Smartwatch Model 112,40,12,46,0.85,71,19.61,36.01,34.62,58.14,28.02,Ultra-Light,Safe,Smartwatch
Smartwatch Model 108,43,15,26,2.84,56,28.3,31.44,32.37,75.44,51.15,Ultra-Light,Safe,Smartwatch
Camera DSLR Model 388,56,9,6,1.61,36,35.57,32.42,30.61,87.74,50.97,Ultra-Light,Moderate,Camera DSLR
Smartwatch Model 462,42,5,9,1.5,45,33.7,29.15,26.98,64.49,49.97,Ultra-Light,Moderate,Smartwatch
Gaming Console Model 491,30,17,64,2.88,72,15.33,32.36,32.32,58.71,37.06,Ultra-Light,Safe,Gaming Console
Bluetooth Speaker Model 193,32,19,18,2.38,67,29.33,24.71,32.34,68.31,50.62,Ultra-Light,Safe,Bluetooth Speaker
Camera DSLR Model 93,16,6,91,2.21,15,12.53,5.06,10.52,59.62,21.46,Ultra-Light,Moderate,Camera DSLR
Tablet Model 466,34,10,24,0.83,42,29.1,23.63,24.78,68.22,35.88,Ultra-Light,Moderate,Tablet
Laptop Model 229,30,13,53,2.75,65,19.25,29.86,29.59,66.83,41.4,Ultra-Light,Safe,Laptop
Smartwatch Model 106,26,8,20,0.73,45,29.94,24.25,22.24,56.33,38.22,Ultra-Light,Moderate,Smartwatch
Bluetooth Speaker Model 468,13,11,83,1.77,22,13.96,16.19,12.53,62.69,20.61,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 55,51,14,100,1.73,87,2.34,39.08,42.84,56.49,12.75,Ultra-Light,Safe,Laptop
Laptop Model 217,57,9,48,1.61,86,17.97,44.96,43.46,67.86,33.3,Ultra-Light,Safe,Laptop
Laptop Model 226,40,19,17,1.17,85,27.1,35.23,39.82,70.57,42.48,Ultra-Light,Safe,Laptop
Tablet Model 106,43,13,43,2.53,45,24.12,27.41,29.17,76.71,44.67,Ultra-Light,Moderate,Tablet
Power Bank Model 457,40,19,33,2.25,17,29.75,13.11,22.66,101.4,46.31,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 275,50,2,22,1.3,34,30.78,28.37,26.3,75.48,42.65,Ultra-Light,Moderate,Bluetooth Speaker
Power Bank Model 387,24,16,6,0.77,52,33.46,23.89,25.28,68.49,44.91,Ultra-Light,Safe,Power Bank
Laptop Model 449,33,2,39,2.97,73,22.78,32.05,29.85,40.56,47.41,Ultra-Light,Safe,Laptop
Gaming Console Model 416,51,9,76,2.08,27,15.75,24.4,26.54,86.65,27.98,Ultra-Light,Moderate,Gaming Console
Smartphone Model 462,58,17,22,0.36,19,31.72,20.48,29.25,100.48,34.18,Ultra-Light,Moderate,Smartphone
Smartwatch Model 453,39,10,68,2.46,28,18.28,20.38,22.78,71.33,32.14,Ultra-Light,Moderate,Smartwatch
Smartwatch Model 468,23,7,54,2.54,38,21.52,20.46,18.92,59.55,38.34,Ultra-Light,Moderate,Smartwatch
Smartphone Model 157,40,19,86,2.54,36,12.12,26.36,27.37,84.28,25.72,Ultra-Light,Moderate,Smartphone
Tablet Model 377,12,16,93,1.95,37,9.57,17.49,17.16,65.74,17.89,Ultra-Light,Moderate,Tablet
Bluetooth Speaker Model 117,38,18,81,1.97,41,12.78,25.51,27.75,86.28,23.27,Ultra-Light,Moderate,Bluetooth Speaker
Tablet Model 273,32,16,93,2.97,27,11.18,17.5,21.5,79.55,25.75,Ultra-Light,Moderate,Tablet
Hard Disk Drive Model 236,17,19,41,0.64,50,23.08,16.72,23.1,63.58,28.53,Ultra-Light,Moderate,Hard Disk Drive
Smartphone Model 48,22,15,61,2.46,63,16.88,24.59,26.83,50.16,35.09,Ultra-Light,Safe,Smartphone
Camera DSLR Model 142,32,14,48,1.44,30,23.46,19.42,21.98,75.41,32.84,Ultra-Light,Moderate,Camera DSLR
Hard Disk Drive Model 147,51,12,27,0.69,9,31.41,18.96,23.0,99.16,32.67,Ultra-Light,Moderate,Hard Disk Drive
Hard Disk Drive Model 81,30,2,38,1.04,17,27.52,20.3,15.09,68.62,31.86,Ultra-Light,Moderate,Hard Disk Drive
Laptop Model 18,17,8,36,1.11,24,27.47,15.41,13.78,54.8,35.3,Ultra-Light,Moderate,Laptop
Camera DSLR Model 413,13,19,90,1.34,48,9.0,22.18,21.1,55.73,14.17,Ultra-Light,Moderate,Camera DSLR
Tablet Model 415,43,5,87,1.91,59,9.15,29.83,30.76,70.85,20.25,Ultra-Light,Safe,Tablet
Smartwatch Model 423,53,4,15,0.66,54,30.5,36.94,32.95,64.16,38.69,Ultra-Light,Safe,Smartwatch
Power Bank Model 240,35,14,19,0.45,47,29.87,24.65,27.43,66.84,34.94,Ultra-Light,Moderate,Power Bank
Smartwatch Model 165,58,13,87,1.03,93,5.22,45.17,46.65,69.2,14.77,Ultra-Light,Safe,Smartwatch
Gaming Console Model 6,57,19,86,2.3,19,13.68,25.74,29.1,115.39,25.17,Ultra-Light,Moderate,Gaming Console
Power Bank Model 113,35,10,23,1.84,31,31.1,22.52,22.22,80.97,45.09,Ultra-Light,Moderate,Power Bank
Headphones Model 136,53,17,59,2.39,85,15.23,46.92,43.69,70.48,35.33,Ultra-Light,Safe,Headphones
Gaming Console Model 77,35,16,3,1.48,52,34.79,26.82,29.03,61.42,50.47,Ultra-Light,Safe,Gaming Console
Smartwatch Model 390,29,16,17,2.64,80,28.48,32.91,33.75,58.28,52.88,Ultra-Light,Safe,Smartwatch
Tablet Model 69,59,11,86,2.41,6,15.05,25.0,24.54,108.12,26.58,Ultra-Light,Moderate,Tablet
Bluetooth Speaker Model 346,21,10,89,0.67,100,3.7,35.96,34.75,24.13,11.03,Ultra-Light,Safe,Bluetooth Speaker
Hard Disk Drive Model 201,43,11,18,1.1,4,34.86,22.43,18.63,98.52,41.44,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 315,29,15,23,0.86,11,32.52,9.86,16.52,84.95,38.97,Ultra-Light,Moderate,Tablet
Smartphone Model 180,58,10,89,1.96,46,9.88,34.96,34.01,92.63,19.6,Ultra-Light,Moderate,Smartphone
Gaming Console Model 148,21,12,52,1.85,67,18.81,26.02,26.82,61.78,34.81,Ultra-Light,Safe,Gaming Console
Smartwatch Model 89,19,8,45,1.42,74,19.95,28.37,26.94,32.64,34.2,Ultra-Light,Safe,Smartwatch
Camera DSLR Model 391,26,12,69,0.63,22,17.48,14.24,17.51,74.49,17.59,Ultra-Light,Moderate,Camera DSLR
Tablet Model 450,45,13,88,1.01,60,8.21,40.04,33.85,78.55,12.13,Ultra-Light,Safe,Tablet
Hard Disk Drive Model 154,20,20,2,1.37,11,39.12,2.39,14.54,87.97,50.58,Ultra-Light,Moderate,Hard Disk Drive
Headphones Model 208,26,16,15,1.65,34,33.09,19.93,21.35,78.67,47.9,Ultra-Light,Moderate,Headphones
Tablet Model 32,39,16,53,0.99,98,14.89,38.15,42.0,46.94,27.07,Ultra-Light,Safe,Tablet
Smartphone Model 82,55,4,73,2.91,10,18.85,24.11,22.31,90.99,35.9,Ultra-Light,Moderate,Smartphone
Smartwatch Model 224,52,7,48,1.49,34,23.09,30.59,28.23,83.35,31.22,Ultra-Light,Moderate,Smartwatch
Gaming Console Model 286,10,15,60,0.83,63,16.2,14.92,22.88,41.94,22.59,Ultra-Light,Safe,Gaming Console
Headphones Model 277,42,6,73,1.68,97,9.41,45.24,40.2,41.86,23.45,Ultra-Light,Safe,Headphones
Tablet Model 204,19,14,30,0.96,92,22.38,34.64,33.01,38.29,34.72,Ultra-Light,Safe,Tablet
Gaming Console Model 151,16,2,0,0.75,13,39.15,10.88,9.24,52.16,46.78,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 455,51,7,0,2.76,85,33.16,43.31,40.44,56.01,63.7,Ultra-Light,Safe,Smartwatch
Smartphone Model 258,16,9,13,0.44,3,36.06,5.9,8.53,69.33,36.24,Ultra-Light,Moderate,Smartphone
Bluetooth Speaker Model 190,13,15,63,1.84,74,14.8,30.08,26.52,40.38,29.24,Ultra-Light,Safe,Bluetooth Speaker
Smartwatch Model 271,18,3,46,2.64,91,18.68,31.31,29.4,15.78,42.24,Ultra-Light,Safe,Smartwatch
Camera DSLR Model 60,35,10,16,0.72,20,33.63,11.83,19.64,88.25,40.73,Ultra-Light,Moderate,Camera DSLR
Gaming Console Model 215,40,20,24,0.78,10,32.27,13.65,21.38,107.51,35.93,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 62,54,4,49,2.07,16,24.94,28.37,23.59,90.65,37.8,Ultra-Light,Moderate,Smartwatch
Gaming Console Model 95,50,17,91,2.21,90,5.03,41.72,43.92,66.62,21.39,Ultra-Light,Safe,Gaming Console
Laptop Model 466,29,4,83,2.04,84,7.92,37.76,31.84,33.94,22.82,Ultra-Light,Safe,Laptop
Headphones Model 438,11,3,2,1.91,83,32.25,33.31,25.06,23.3,55.35,Ultra-Light,Safe,Headphones
Bluetooth Speaker Model 377,36,20,82,2.98,11,16.09,16.3,19.9,108.39,28.53,Ultra-Light,Moderate,Bluetooth Speaker
Headphones Model 202,20,12,91,1.34,88,4.7,32.61,31.8,34.21,14.88,Ultra-Light,Safe,Headphones
Gaming Console Model 370,52,19,91,2.36,66,7.52,35.96,39.1,79.23,22.38,Ultra-Light,Safe,Gaming Console
Smartphone Model 50,30,3,100,0.52,71,3.21,28.36,28.92,42.62,3.98,Ultra-Light,Safe,Smartphone
